name,category,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,calcium,iron,vitamin_a,vitamin_c,vitamin_d,vitamin_e,vitamin_k
Tomato,Vegetables,18,0.9,3.9,0.2,1.2,2.6,5,237,10,0.3,833,13.7,0,0.54,7.9
Cucumber,Vegetables,16,0.7,4.0,0.1,0.5,1.7,2,147,16,0.3,105,2.8,0,0.03,16.4
Onion,Vegetables,40,1.1,9.3,0.1,1.7,4.2,4,146,23,0.2,2,7.4,0,0.02,0.4
Lettuce,Vegetables,15,1.4,2.9,0.2,1.3,0.8,28,194,36,0.9,7405,9.2,0,0.22,126.3
Carrot,Vegetables,41,0.9,9.6,0.2,2.8,4.7,69,320,33,0.3,16706,5.9,0,0.66,13.2
Spinach,Vegetables,23,2.9,3.6,0.4,2.2,0.4,79,558,99,2.7,9377,28.1,0,2.03,482.9
Bell Pepper,Vegetables,31,1.0,7.3,0.3,2.5,4.2,4,211,7,0.4,3131,127.7,0,1.58,4.9
Broccoli,Vegetables,34,2.8,6.6,0.4,2.6,1.5,33,316,47,0.7,623,89.2,0,0.78,101.6
Apple,Fruits,52,0.3,13.8,0.2,2.4,10.4,1,107,6,0.1,54,4.6,0,0.18,2.2
Banana,Fruits,89,1.1,22.8,0.3,2.6,12.2,1,358,5,0.3,64,8.7,0,0.10,0.5
Orange,Fruits,47,0.9,11.8,0.1,2.4,9.4,0,181,40,0.1,225,53.2,0,0.18,0.0
Strawberry,Fruits,32,0.7,7.7,0.3,2.0,4.9,1,153,16,0.4,12,58.8,0,0.29,2.2
Grapes,Fruits,62,0.6,16.0,0.2,0.9,15.5,2,191,10,0.4,66,3.2,0,0.19,14.6
Avocado,Fruits,160,2.0,8.5,14.7,6.7,0.7,7,485,12,0.6,146,10.0,0,2.07,21.0
Chicken Breast,Proteins,165,31.0,0.0,3.6,0.0,0.0,74,256,15,1.0,21,0.0,0.3,0.27,0.0
Salmon,Proteins,208,25.4,0.0,12.4,0.0,0.0,44,628,12,0.8,158,0.0,11.1,1.22,0.1
Beef,Proteins,250,26.1,0.0,15.4,0.0,0.0,72,318,18,2.6,0,0.0,0.1,0.60,1.6
Eggs,Proteins,155,13.0,1.1,10.6,0.0,0.6,124,126,50,1.2,540,0.0,2.0,1.05,0.3
Tofu,Proteins,76,8.1,1.9,4.8,0.4,0.9,7,121,350,5.4,85,0.1,0,0.01,2.4
Almonds,Nuts,579,21.2,21.6,49.9,12.5,4.4,1,733,269,3.7,2,0.0,0,25.63,0.0
Walnuts,Nuts,654,15.2,13.7,65.2,6.7,2.6,2,441,98,2.9,20,1.3,0,0.70,2.7
Rice,Grains,130,2.7,28.2,0.3,0.4,0.1,1,35,28,0.8,0,0.0,0,0.11,0.0
Quinoa,Grains,120,4.4,21.8,1.9,2.8,0.9,7,172,17,1.5,5,0.0,0,0.63,0.0
Oats,Grains,389,16.9,66.3,6.9,10.6,0.0,2,429,54,4.7,0,0.0,0,0.42,2.0
Bread,Grains,265,9.0,49.0,3.2,2.7,5.0,491,115,160,3.6,0,0.0,0,0.33,0.8
